
Predictions were generated on 17-Jan-2026 at 06:32:31 using OpenFAST, compiled as a 64-bit application using single precision at commit v3.5.1
 linked with  NWTC Subroutine Library; ElastoDyn

Description from the FAST input file: FAST Certification Test #18: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time	OoPDefl1	IPDefl1	TwstDefl1	BldPitch1	Azimuth	RotSpeed	GenSpeed	TTDspFA	TTDspSS	TTDspTwst	Spn2MLxb1	Spn2MLyb1	RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RotTorq	LSSGagMya	LSSGagMza	YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
(s)	(m)	(m)	(deg)	(deg)	(deg)	(rpm)	(rpm)	(m)	(m)	(deg)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)
    0.0000	  0.000000000E+000	  0.000000000E+000	  0.000000000E+000	  0.000000000E+000	  0.000000000E+000	  1.950000000E+001	  1.891500000E+003	  0.000000000E+000	  0.000000000E+000	  0.000000000E+000	 -1.147518234E+002	 -1.795838737E+001	  2.247819710E+001	  1.107939148E+001	  1.617641235E+003	 -4.471971130E+002	  2.927778931E+002	  2.999605613E-007	 -1.414029175E+003	  2.859061813E+001	  2.345402908E+001	 -2.163029671E+001	 -2.465379715E+001	  1.548279381E+001	 -1.359948975E+003	 -2.988234282E+000	  1.360396271E+002	  1.666174889E+001	 -3.136652756E+001	  1.548279381E+001	  1.218617432E+003	  5.093720703E+002	  1.360396271E+002
    0.0063	  1.680183195E-004	 -6.007962293E-005	  0.000000000E+000	  0.000000000E+000	  7.312400341E-001	  1.950000000E+001	  1.891500000E+003	 -7.850023394E-006	  1.366924266E-006	  0.000000000E+000	 -1.151492310E+002	 -1.773783493E+001	  2.258053398E+001	  1.112433624E+001	  1.617971924E+003	 -4.487448730E+002	  2.958398438E+002	  1.850028988E-003	 -1.417800049E+003	  2.897375870E+001	  2.264823151E+001	 -2.162097740E+001	 -2.471630669E+001	  1.545744419E+001	 -1.363624756E+003	 -2.893333435E+000	  1.359118042E+002	  1.659656334E+001	 -3.144515228E+001	  1.545745087E+001	  1.221423462E+003	  5.055969238E+002	  1.359119110E+002
    0.0125	  6.725289277E-004	 -2.400525846E-004	  0.000000000E+000	  0.000000000E+000	  1.462480068E+000	  1.950000000E+001	  1.891500000E+003	 -3.137178282E-005	  5.471242730E-006	  0.000000000E+000	 -1.154817429E+002	 -1.733576012E+001	  2.281655884E+001	  1.113484764E+001	  1.618301514E+003	 -4.493115234E+002	  3.025684509E+002	  7.435948122E-003	 -1.418693359E+003	  2.953223038E+001	  2.179636765E+001	 -2.158581734E+001	 -2.472479248E+001	  1.539880180E+001	 -1.364536865E+003	 -2.560599566E+000	  1.355461273E+002	  1.645060730E+001	 -3.145405006E+001	  1.539883327E+001	  1.221282959E+003	  4.976406555E+002	  1.355463409E+002
    0.0188	  1.515454729E-003	 -5.392838502E-004	  0.000000000E+000	  0.000000000E+000	  2.193747282E+000	  1.950000000E+001	  1.891500000E+003	 -7.049040869E-005	  1.231124679E-005	  0.000000000E+000	 -1.152360840E+002	 -1.675204468E+001	  2.316848183E+001	  1.109369850E+001	  1.618627197E+003	 -4.477696533E+002	  3.125721130E+002	  1.671504229E-002	 -1.413044922E+003	  3.019726944E+001	  2.078914833E+001	 -2.152501488E+001	 -2.461511803E+001	  1.529634476E+001	 -1.359168701E+003	 -2.099692106E+000	  1.345100555E+002	  1.622878838E+001	 -3.131258392E+001	  1.529641438E+001	  1.215060059E+003	  4.856593933E+002	  1.345102997E+002
    0.0250	  2.701694611E-003	 -9.569837130E-004	  0.000000000E+000	  0.000000000E+000	  2.924987316E+000	  1.950000000E+001	  1.891500000E+003	 -1.250893547E-004	  2.187470454E-005	  0.000000000E+000	 -1.147600784E+002	 -1.598352146E+001	  2.364520073E+001	  1.101283932E+001	  1.618947510E+003	 -4.448916016E+002	  3.260399475E+002	  2.963873185E-002	 -1.403376221E+003	  3.100548935E+001	  1.969699860E+001	 -2.143922234E+001	 -2.443144608E+001	  1.515783501E+001	 -1.349940186E+003	 -1.441301346E+000	  1.331052094E+002	  1.592923260E+001	 -3.107629967E+001	  1.515796089E+001	  1.204916504E+003	  4.696157227E+002	  1.331055756E+002
    0.0312	  4.237781279E-003	 -1.492062351E-003	  0.000000000E+000	  0.000000000E+000	  3.656254768E+000	  1.950000000E+001	  1.891500000E+003	 -1.950099395E-004	  3.414014282E-005	  0.000000000E+000	 -1.139730301E+002	 -1.502792549E+001	  2.424134827E+001	  1.088994026E+001	  1.619261841E+003	 -4.405099487E+002	  3.428455200E+002	  4.615092278E-002	 -1.389143188E+003	  3.193521500E+001	  1.849827766E+001	 -2.132901382E+001	 -2.416432953E+001	  1.498155212E+001	 -1.336328857E+003	 -6.143847108E-001	  1.312660370E+002	  1.555411339E+001	 -3.073324966E+001	  1.498174381E+001	  1.190390381E+003	  4.495913086E+002	  1.312667694E+002
    0.0375	  6.132253446E-003	 -2.143186051E-003	  0.000000000E+000	  0.000000000E+000	  4.387494564E+000	  1.950000000E+001	  1.891500000E+003	 -2.800525108E-004	  4.907653783E-005	  0.000000000E+000	 -1.128844452E+002	 -1.388113403E+001	  2.495370483E+001	  1.072593784E+001	  1.619568481E+003	 -4.346622314E+002	  3.629104614E+002	  6.599996239E-002	 -1.370473022E+003	  3.297973633E+001	  1.719456482E+001	 -2.119530869E+001	 -2.381595993E+001	  1.476902962E+001	 -1.318456787E+003	  3.784449399E-001	  1.290074615E+002	  1.510492897E+001	 -3.028637505E+001	  1.476930332E+001	  1.171598999E+003	  4.256598816E+002	  1.290084076E+002
    0.0438	  8.395479061E-003	 -2.908773720E-003	  0.000000000E+000	  0.000000000E+000	  5.118734837E+000	  1.950000000E+001	  1.891500000E+003	 -3.799774568E-004	  6.664376997E-005	  0.000000000E+000	 -1.115038910E+002	 -1.253858757E+001	  2.577841568E+001	  1.052193260E+001	  1.619866333E+003	 -4.273887634E+002	  3.861377869E+002	  8.908769488E-002	 -1.347489258E+003	  3.412701035E+001	  1.578387833E+001	 -2.103913307E+001	 -2.338857460E+001	  1.452109623E+001	 -1.296442749E+003	  1.526662111E+000	  1.263419189E+002	  1.458372307E+001	 -2.973848534E+001	  1.452146149E+001	  1.148655518E+003	  3.979106445E+002	  1.263429413E+002
    0.0500	  1.103956345E-002	 -3.787006717E-003	  0.000000000E+000	  0.000000000E+000	  5.850002289E+000	  1.950000000E+001	  1.891500000E+003	 -4.945063847E-004	  8.679267194E-005	  0.000000000E+000	 -1.098435516E+002	 -1.099501801E+001	  2.671097183E+001	  1.027931309E+001	  1.620154419E+003	 -4.187408752E+002	  4.124193420E+002	  1.151324511E-001	 -1.320357910E+003	  3.536675262E+001	  1.426754570E+001	 -2.086170006E+001	 -2.288512611E+001	  1.423907757E+001	 -1.270446045E+003	  2.821701765E+000	  1.232869339E+002	  1.399266911E+001	 -2.909341240E+001	  1.423954487E+001	  1.121712769E+003	  3.664471741E+002	  1.232885666E+002
    0.0563	  1.407822128E-002	 -4.775836598E-003	  0.000000000E+000	  0.000000000E+000	  6.581242085E+000	  1.950000000E+001	  1.891500000E+003	 -6.233235472E-004	  1.094656036E-004	  0.000000000E+000	 -1.079168625E+002	 -9.244147301E+000	  2.774649239E+001	  9.999544144E+000	  1.620431274E+003	 -4.087762451E+002	  4.416325073E+002	  1.438874900E-001	 -1.289257812E+003	  3.668597412E+001	  1.264753342E+001	 -2.066430473E+001	 -2.230878448E+001	  1.392386913E+001	 -1.240638550E+003	  4.249870777E+000	  1.198603973E+002	  1.333439827E+001	 -2.835525513E+001	  1.392444515E+001	  1.090935547E+003	  3.313813171E+002	  1.198622894E+002
    0.0625	  1.752663590E-002	 -5.872994661E-003	  0.000000000E+000	  0.000000000E+000	  7.312481880E+000	  1.950000000E+001	  1.891500000E+003	 -7.660775445E-004	  1.345966302E-004	  0.000000000E+000	 -1.057396927E+002	 -7.279230595E+000	  2.887940788E+001	  9.684531212E+000	  1.620695557E+003	 -3.975625610E+002	  4.736424561E+002	  1.750632375E-001	 -1.254399170E+003	  3.807241058E+001	  1.092621136E+001	 -2.044847679E+001	 -2.166341400E+001	  1.357761955E+001	 -1.207221924E+003	  5.801877499E+000	  1.160865631E+002	  1.261159325E+001	 -2.752873993E+001	  1.357831192E+001	  1.056514038E+003	  2.928397522E+002	  1.160887604E+002
    0.0688	  2.140129171E-002	 -7.076001726E-003	  0.000000000E+000	  0.000000000E+000	  8.043749809E+000	  1.950000000E+001	  1.891500000E+003	 -9.223829256E-004	  1.621120027E-004	  0.000000000E+000	 -1.033283386E+002	 -5.093077660E+000	  3.010377312E+001	  9.336296082E+000	  1.620947388E+003	 -3.851704712E+002	  5.083018188E+002	  2.084143758E-001	 -1.215999634E+003	  3.951124573E+001	  9.106258392E+000	 -2.021580887E+001	 -2.095276451E+001	  1.320169544E+001	 -1.170405396E+003	  7.462089539E+000	  1.119826889E+002	  1.182738209E+001	 -2.661897850E+001	  1.320250797E+001	  1.018653198E+003	  2.509618378E+002	  1.119853134E+002
    0.0750	  2.571981959E-002	 -8.382178843E-003	  0.000000000E+000	  0.000000000E+000	  8.774989128E+000	  1.950000000E+001	  1.891500000E+003	 -1.091822167E-003	  1.919306524E-004	  0.000000000E+000	 -1.007021332E+002	 -2.677849770E+000	  3.141322899E+001	  8.956959724E+000	  1.621184570E+003	 -3.716833801E+002	  5.454535522E+002	  2.435991168E-001	 -1.174316284E+003	  4.098830795E+001	  7.192522526E+000	 -1.996805763E+001	 -2.018152809E+001	  1.279846001E+001	 -1.130436035E+003	  9.217569351E+000	  1.075768661E+002	  1.098495293E+001	 -2.563179207E+001	  1.279939651E+001	  9.775870972E+002	  2.058933105E+002	  1.075799026E+002
    0.0813	  3.050079010E-002	 -9.788661264E-003	  0.000000000E+000	  0.000000000E+000	  9.506229401E+000	  1.950000000E+001	  1.891500000E+003	 -1.273947651E-003	  2.239646856E-004	  0.000000000E+000	 -9.787918854E+001	 -2.529273741E-002	  3.280094910E+001	  8.548810005E+000	  1.621406738E+003	 -3.571817017E+002	  5.849311523E+002	  2.801536024E-001	 -1.129595703E+003	  4.248928070E+001	  5.189454079E+000	 -1.970704842E+001	 -1.935409355E+001	  1.236885357E+001	 -1.087550415E+003	  1.105056381E+001	  1.028922577E+002	  1.008787155E+001	 -2.457284546E+001	  1.236991501E+001	  9.335432739E+002	  1.577943726E+002	  1.028955841E+002
    0.0875	  3.576354310E-002	 -1.129240729E-002	  0.000000000E+000	  0.000000000E+000	  1.023749638E+001	  1.950000000E+001	  1.891500000E+003	 -1.468284056E-003	  2.581198642E-004	  0.000000000E+000	 -9.488159943E+001	  2.873115778E+000	  3.425982285E+001	  8.114353180E+000	  1.621613281E+003	 -3.417603149E+002	  6.265592651E+002	  3.178614974E-001	 -1.082127075E+003	  4.399911118E+001	  3.102057934E+000	 -1.943473434E+001	 -1.847557068E+001	  1.191559124E+001	 -1.042027466E+003	  1.294726276E+001	  9.795339203E+001	  9.139745712E+000	 -2.344885826E+001	  1.191677380E+001	  8.867904053E+002	  1.068282013E+002	  9.795722961E+001
    0.0938	  4.152797163E-002	 -1.289021503E-002	  0.000000000E+000	  0.000000000E+000	  1.096873665E+001	  1.950000000E+001	  1.891500000E+003	 -1.674330560E-003	  2.942963038E-004	  0.000000000E+000	 -9.173036194E+001	  6.026002884E+000	  3.578240204E+001	  7.656342506E+000	  1.621803467E+003	 -3.255133972E+002	  6.701542969E+002	  3.563481271E-001	 -1.032196533E+003	  4.550075531E+001	  9.369688034E-001	 -1.915310478E+001	 -1.755117226E+001	  1.144056416E+001	 -9.941411133E+002	  1.488885403E+001	  9.279043579E+001	  8.144449234E+000	 -2.226628494E+001	  1.144186592E+001	  8.375894165E+002	  5.317336655E+001	  9.279460907E+001
    0.1000	  4.781430960E-002	 -1.457873266E-002	  0.000000000E+000	  0.000000000E+000	  1.170000458E+001	  1.950000000E+001	  1.891500000E+003	 -1.891562948E-003	  3.323889105E-004	  0.000000000E+000	 -8.844836426E+001	  9.442386627E+000	  3.736103439E+001	  7.177658081E+000	  1.621977417E+003	 -3.085419617E+002	  7.155281372E+002	  3.952315450E-001	 -9.801114502E+002	  4.698306656E+001	 -1.298653603E+000	 -1.886435699E+001	 -1.658639526E+001	  1.094687271E+001	 -9.441868896E+002	  1.686484718E+001	  8.743302155E+001	  7.105803490E+000	 -2.103219986E+001	  1.094828796E+001	  7.862240601E+002	 -2.996527672E+000	  8.743729401E+001
    0.1063	  5.464293063E-002	 -1.635447703E-002	  0.000000000E+000	  0.000000000E+000	  1.243124390E+001	  1.950000000E+001	  1.891500000E+003	 -2.119436627E-003	  3.722881374E-004	  0.000000000E+000	 -8.505819702E+001	  1.313109970E+001	  3.898783112E+001	  6.680849552E+000	  1.622134033E+003	 -2.909474182E+002	  7.624855347E+002	  4.342021048E-001	 -9.261745605E+002	  4.842714310E+001	 -3.597892761E+000	 -1.857052994E+001	 -1.558663273E+001	  1.043593025E+001	 -8.924561157E+002	  1.885191345E+001	  8.190589142E+001	  6.028010845E+000	 -1.975359344E+001	  1.043745041E+001	  7.329752197E+002	 -6.149110031E+001	  8.191042328E+001
    0.1125	  6.203410029E-002	 -1.821384393E-002	  0.000000000E+000	  0.000000000E+000	  1.316248417E+001	  1.950000000E+001	  1.891500000E+003	 -2.357388614E-003	  4.138805089E-004	  0.000000000E+000	 -8.158382416E+001	  1.710087204E+001	  4.065477753E+001	  6.169048786E+000	  1.622273315E+003	 -2.728351135E+002	  8.108277588E+002	  4.731239974E-001	 -8.707086182E+002	  4.981932068E+001	 -5.953380585E+000	 -1.827386093E+001	 -1.455758667E+001	  9.910832405E+000	 -8.392593994E+002	  2.083592606E+001	  7.623634338E+001	  4.915177345E+000	 -1.843794250E+001	  9.912447929E+000	  6.781433105E+002	 -1.221214218E+002	  7.624123383E+001
    0.1188	  7.000778615E-002	 -2.015312575E-002	  0.000000000E+000	  0.000000000E+000	  1.389375114E+001	  1.950000000E+001	  1.891500000E+003	 -2.604840556E-003	  4.570494348E-004	  0.000000000E+000	 -7.804907990E+001	  2.136023712E+001	  4.235369492E+001	  5.645317554E+000	  1.622395508E+003	 -2.543124390E+002	  8.603544922E+002	  5.115848184E-001	 -8.140375977E+002	  5.114327240E+001	 -8.353914261E+000	 -1.797649765E+001	 -1.350520802E+001	  9.373378754E+000	 -7.849075317E+002	  2.279544067E+001	  7.045958710E+001	  3.771620750E+000	 -1.709257507E+001	  9.375079155E+000	  6.220237427E+002	 -1.846894989E+002	  7.046454620E+001
    0.1250	  7.858339697E-002	 -2.216852829E-002	  0.000000000E+000	  0.000000000E+000	  1.462499142E+001	  1.950000000E+001	  1.891500000E+003	 -2.861201297E-003	  5.016756477E-004	  0.000000000E+000	 -7.447825623E+001	  2.591780472E+001	  4.407655334E+001	  5.112633228E+000	  1.622500244E+003	 -2.354904938E+002	  9.108638306E+002	  5.494810343E-001	 -7.564882202E+002	  5.238697815E+001	 -1.079354191E+001	 -1.768071365E+001	 -1.243527603E+001	  8.826382637E+000	 -7.297150269E+002	  2.471780586E+001	  6.460031128E+001	  2.601523161E+000	 -1.572505951E+001	  8.828152657E+000	  5.649206543E+002	 -2.490044403E+002	  6.460523224E+001
    0.1313	  8.777959645E-002	 -2.425618097E-002	  0.000000000E+000	  0.000000000E+000	  1.535623169E+001	  1.950000000E+001	  1.891500000E+003	 -3.125869436E-003	  5.476381630E-004	  0.000000000E+000	 -7.089492035E+001	  3.078122330E+001	  4.581509399E+001	  4.574117184E+000	  1.622588013E+003	 -2.164752960E+002	  9.621535034E+002	  5.862485766E-001	 -6.983851929E+002	  5.353641129E+001	 -1.326063824E+001	 -1.738871002E+001	 -1.135366535E+001	  8.272907257E+000	 -6.739937134E+002	  2.658634758E+001	  5.869065094E+001	  1.409165859E+000	 -1.434282684E+001	  8.274734497E+000	  5.071336975E+002	 -3.148668213E+002	  5.869559097E+001
    0.1375	  9.761405736E-002	 -2.641215734E-002	  0.000000000E+000	  0.000000000E+000	  1.608749962E+001	  1.950000000E+001	  1.891500000E+003	 -3.398236120E-003	  5.948146572E-004	  0.000000000E+000	 -6.732295990E+001	  3.595812225E+001	  4.756135178E+001	  4.032601833E+000	  1.622658325E+003	 -1.973763275E+002	  1.014021362E+003	  6.221448183E-001	 -6.400516968E+002	  5.457591248E+001	 -1.574736595E+001	 -1.710258293E+001	 -1.026612186E+001	  7.714133739E+000	 -6.180549927E+002	  2.837956047E+001	  5.275437927E+001	  1.989110410E-001	 -1.295337296E+001	  7.716002464E+000	  4.489642334E+002	 -3.820737305E+002	  5.275949860E+001
    0.1438	  1.081032380E-001	 -2.863248251E-002	  0.000000000E+000	  0.000000000E+000	  1.681873894E+001	  1.950000000E+001	  1.891500000E+003	 -3.677687142E-003	  6.430822541E-004	  0.000000000E+000	 -6.378564453E+001	  4.145528030E+001	  4.930730820E+001	  3.491376162E+000	  1.622712036E+003	 -1.783005524E+002	  1.066269287E+003	  6.569254398E-001	 -5.818131714E+002	  5.549605179E+001	 -1.824183846E+001	 -1.682453918E+001	 -9.178535461E+000	  7.153391838E+000	 -5.622111206E+002	  3.008495331E+001	  4.682413101E+001	 -1.025071144E+000	 -1.156413841E+001	  7.155283928E+000	  3.907120361E+002	 -4.504313660E+002	  4.682918167E+001
    0.1500	  1.192621961E-001	 -3.091316298E-002	  0.000000000E+000	  0.000000000E+000	  1.754997826E+001	  1.950000000E+001	  1.891500000E+003	 -3.963606432E-003	  6.923183100E-004	  0.000000000E+000	 -6.030547714E+001	  4.727889633E+001	  5.104512024E+001	  2.953536987E+000	  1.622750366E+003	 -1.593522644E+002	  1.118701294E+003	  6.903275847E-001	 -5.239763184E+002	  5.628455353E+001	 -2.073578262E+001	 -1.655669022E+001	 -8.096388817E+000	  6.593846798E+000	 -5.067573547E+002	  3.169023514E+001	  4.092350769E+001	 -2.258661270E+000	 -1.018221951E+001	  6.595746040E+000	  3.326635742E+002	 -5.197462158E+002	  4.092842102E+001
    0.1562	  1.311043650E-001	 -3.325018287E-002	  0.000000000E+000	  0.000000000E+000	  1.828124619E+001	  1.950000000E+001	  1.891500000E+003	 -4.255378153E-003	  7.424008800E-004	  0.000000000E+000	 -5.690488052E+001	  5.343434906E+001	  5.276731873E+001	  2.421619177E+000	  1.622773071E+003	 -1.406352844E+002	  1.171126587E+003	  7.226007581E-001	 -4.668547363E+002	  5.692974091E+001	 -2.321720314E+001	 -1.630096436E+001	 -7.025340557E+000	  6.036514759E+000	 -4.519950562E+002	  3.317449188E+001	  3.508090210E+001	 -3.497629404E+000	 -8.814819336E+000	  6.038400173E+000	  2.751093140E+002	 -5.898215942E+002	  3.508565521E+001
