! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! DU25 airfoil with an aspect ratio of 17.  Original -180 to 180deg Cl, Cd, and Cm versus AOA data taken from Appendix A of DOWEC document 10046_009.pdf (numerical values obtained from Koert Lindenburg of ECN).
! Cl and Cd values corrected for rotational stall delay and Cd values corrected using the Viterna method for 0 to 90deg AOA by Jason Jonkman using AirfoilPrep_v2p0.xls.
! note that this file uses Marshall Buhl's new input file processing; start all comment lines with !
! ------------------------------------------------------------------------------
"DEFAULT"     InterpOrd         ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
          1   NonDimArea        ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
        400   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25        0
! coordinates of airfoil shape; data from TU Delft as posted here: https://wind.nrel.gov/forum/wind/viewtopic.php?f=2&t=440
! DU 91-W2-250.lm
! x/c      y/c
1.00000   0.00213
0.99660   0.00314
0.99314   0.00414
0.98961   0.00515
0.98601   0.00617
0.98235   0.00720
0.97863   0.00822
0.97484   0.00926
0.97098   0.01030
0.96706   0.01135
0.96307   0.01240
0.95902   0.01347
0.95490   0.01454
0.95072   0.01562
0.94647   0.01672
0.94216   0.01783
0.93778   0.01895
0.93333   0.02009
0.92882   0.02125
0.92425   0.02241
0.91961   0.02359
0.91490   0.02479
0.91013   0.02600
0.90529   0.02722
0.90039   0.02846
0.89542   0.02972
0.89039   0.03099
0.88529   0.03227
0.88013   0.03357
0.87490   0.03489
0.86961   0.03622
0.86425   0.03756
0.85882   0.03892
0.85333   0.04029
0.84778   0.04167
0.84216   0.04306
0.83647   0.04447
0.83072   0.04589
0.82490   0.04732
0.81902   0.04877
0.81307   0.05023
0.80706   0.05170
0.80098   0.05319
0.79484   0.05468
0.78863   0.05619
0.78235   0.05771
