! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! DU30 airfoil with an aspect ratio of 17.  Original -180 to 180deg Cl, Cd, and Cm versus AOA data taken from Appendix A of DOWEC document 10046_009.pdf (numerical values obtained from Koert Lindenburg of ECN).
! Cl and Cd values corrected for rotational stall delay and Cd values corrected using the Viterna method for 0 to 90deg AOA by Jason Jonkman using AirfoilPrep_v2p0.xls.
! note that this file uses Marshall Buhl's new input file processing; start all comment lines with !
! ------------------------------------------------------------------------------
"DEFAULT"     InterpOrd         ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
          1   NonDimArea        ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
        400   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25        0
! coordinates of airfoil shape; data from TU Delft as posted here: https://wind.nrel.gov/forum/wind/viewtopic.php?f=2&t=440
! DU 97-W-300.lm
! x/c      y/c
1.00000   0.00246
0.99660   0.00340
0.99314   0.00437
0.98961   0.00536
0.98601   0.00638
0.98235   0.00740
0.97863   0.00843
0.97484   0.00947
0.97098   0.01051
0.96706   0.01157
0.96307   0.01264
0.95902   0.01371
0.95490   0.01479
0.95072   0.01588
0.94647   0.01698
0.94216   0.01810
0.93778   0.01922
0.93333   0.02036
0.92882   0.02151
0.92425   0.02268
0.91961   0.02386
0.91490   0.02505
0.91013   0.02626
0.90529   0.02749
0.90039   0.02873
0.89542   0.02999
0.89039   0.03126
0.88529   0.03255
0.88013   0.03385
0.87490   0.03516
0.86961   0.03649
0.86425   0.03784
0.85882   0.03921
0.85333   0.04058
0.84778   0.04197
0.84216   0.04337
0.83647   0.04479
0.83072   0.04622
0.82490   0.04767
0.81902   0.04913
0.81307   0.05060
0.80706   0.05208
0.80098   0.05357
0.79484   0.05508
0.78863   0.05659
0.78235   0.05812
